id_remito,transportista,referencia,fecha
SH-P1-000016-2,EXPRESO-SUR,REM-P1-000016-2,2026-03-15
SH-P1-000016-3,EXPRESO-SUR,REM-P1-000016-3,2026-03-15
SH-P1-000016-4,EXPRESO-SUR,REM-P1-000016-4,2026-03-15
SH-P2-000016-0,EXPRESO-SUR,REM-P2-000016-0,2026-08-10
SH-P2-000016-1,EXPRESO-SUR,REM-P2-000016-1,2026-08-10
SH-P2-000016-2,EXPRESO-SUR,REM-P2-000016-2,2026-08-10
SH-FE1-000016,EXPRESO-SUR,REM-FE1-000016,2026-03-20
SH-FE2-000016,EXPRESO-SUR,REM-FE2-000016,2026-03-21
SH-FD-000016,EXPRESO-SUR,REM-FD-000016,2026-03-22
SH-REV-000016,EXPRESO-SUR,REM-REV-000016,2026-03-23
SH-USD-OC1-000016,GLOBAL-CARGO,REM-USD-OC1-000016,2026-04-01
SH-USD-OC2-000016,GLOBAL-CARGO,REM-USD-OC2-000016,2026-04-02
SH-USD-PT-000016,GLOBAL-CARGO,REM-USD-PT-000016,2026-04-03
SH-USD-FAIL-000016,GLOBAL-CARGO,REM-USD-FAIL-000016,2026-04-04
SH-N1-A-000016,EXPRESO-SUR,REM-N1-000016,2026-03-25
SH-N1-B-000016,EXPRESO-SUR,REM-N1-000016,2026-03-25
SH-1N-000016,EXPRESO-SUR,REM-1N-000016,2026-03-26
SH-P1-000017-0,EXPRESO-SUR,REM-P1-000017-0,2026-03-15
SH-P1-000017-1,EXPRESO-SUR,REM-P1-000017-1,2026-03-15
SH-P1-000017-2,EXPRESO-SUR,REM-P1-000017-2,2026-03-15
SH-P1-000017-3,EXPRESO-SUR,REM-P1-000017-3,2026-03-15
SH-P1-000017-4,EXPRESO-SUR,REM-P1-000017-4,2026-03-15
SH-P2-000017-0,EXPRESO-SUR,REM-P2-000017-0,2026-08-10
SH-P2-000017-1,EXPRESO-SUR,REM-P2-000017-1,2026-08-10
SH-P2-000017-2,EXPRESO-SUR,REM-P2-000017-2,2026-08-10
SH-FE1-000017,EXPRESO-SUR,REM-FE1-000017,2026-03-20
SH-FE2-000017,EXPRESO-SUR,REM-FE2-000017,2026-03-21
SH-FD-000017,EXPRESO-SUR,REM-FD-000017,2026-03-22
SH-REV-000017,EXPRESO-SUR,REM-REV-000017,2026-03-23
SH-USD-OC1-000017,GLOBAL-CARGO,REM-USD-OC1-000017,2026-04-01
SH-USD-OC2-000017,GLOBAL-CARGO,REM-USD-OC2-000017,2026-04-02
SH-USD-PT-000017,GLOBAL-CARGO,REM-USD-PT-000017,2026-04-03
SH-USD-FAIL-000017,GLOBAL-CARGO,REM-USD-FAIL-000017,2026-04-04
SH-N1-A-000017,EXPRESO-SUR,REM-N1-000017,2026-03-25
SH-N1-B-000017,EXPRESO-SUR,REM-N1-000017,2026-03-25
SH-1N-000017,EXPRESO-SUR,REM-1N-000017,2026-03-26
SH-P1-000018-0,EXPRESO-SUR,REM-P1-000018-0,2026-03-15
SH-P1-000018-1,EXPRESO-SUR,REM-P1-000018-1,2026-03-15
SH-P1-000018-2,EXPRESO-SUR,REM-P1-000018-2,2026-03-15
SH-P1-000018-3,EXPRESO-SUR,REM-P1-000018-3,2026-03-15
SH-P1-000018-4,EXPRESO-SUR,REM-P1-000018-4,2026-03-15
SH-P2-000018-0,EXPRESO-SUR,REM-P2-000018-0,2026-08-10
SH-P2-000018-1,EXPRESO-SUR,REM-P2-000018-1,2026-08-10
